modelName,	radius1,	radius2,	delta1,	delta2,	d1,	d2,	d3,	isCross,	                    flowrate,	P_in,	P_out,	T_wall,	T_fluid,	Nu,	friction,	tp,	rela_Nu,                    	rela_f,	rela_tp
model3320,10.645161,14.193548,6.0,12.0,35.174603,32.15873,27.333333,False,0.05025,0.9599,0.0009944,294.3,293.6,294.03029403,0.0200974107784,14630.2574631,rela_nu,rela_f,rela_tp
model3321,10.967742,14.193548,6.0,10.0,33.365079,22.507937,39.396825,False,0.05025,1.086,0.001371,294.3,293.6,294.03029403,0.0227324092749,12934.409656,rela_nu,rela_f,rela_tp
model3322,10.967742,14.193548,6.0,8.0,40.0,36.984127,37.587302,False,0.05025,1.12,0.00066,294.3,293.6,294.03029403,0.0234599065651,12533.3105319,rela_nu,rela_f,rela_tp
model3323,10.967742,14.193548,8.0,10.0,33.968254,36.984127,37.587302,True,0.05025,0.6511,0.0009231,294.3,293.6,294.03029403,0.0136268598681,21577.2596824,rela_nu,rela_f,rela_tp
model3324,13.225806,13.870968,6.0,8.0,40.0,36.984127,36.984127,True,0.05025,1.35,0.000734,294.2,293.6,343.035343035,0.0282788556573,12130.4534806,rela_nu,rela_f,rela_tp
model3325,10.967742,14.193548,6.0,8.0,40.0,32.15873,36.984127,True,0.05025,0.9935,0.001088,294.2,293.6,343.035343035,0.0207996612236,16492.3524161,rela_nu,rela_f,rela_tp
model3326,14.83871,14.83871,10.0,8.0,33.968254,34.571429,29.746032,False,0.05025,1.57,0.00148,294.2,293.6,343.035343035,0.0328741335479,10434.8101688,rela_nu,rela_f,rela_tp
model3327,14.193548,13.870968,8.0,10.0,36.380952,32.761905,37.587302,True,0.05025,1.019,0.001067,294.2,293.6,343.035343035,0.0213345480993,16078.8661395,rela_nu,rela_f,rela_tp
model3328,13.548387,14.83871,10.0,8.0,38.793651,36.984127,29.746032,False,0.05025,1.4,0.00165,294.3,293.6,294.03029403,0.0293075922823,10032.5639581,rela_nu,rela_f,rela_tp
model3329,10.0,16.774194,6.0,12.0,36.380952,28.539683,39.396825,True,0.05025,1.002,0.0007853,294.3,293.6,294.03029403,0.0209841543352,14012.0154157,rela_nu,rela_f,rela_tp
model3330,12.258065,14.193548,6.0,10.0,38.793651,36.984127,36.984127,True,0.05025,1.015,0.001023,294.3,293.6,294.03029403,0.0212516354987,13835.6548628,rela_nu,rela_f,rela_tp
model3331,10.645161,14.193548,6.0,12.0,24.31746,32.15873,37.587302,True,0.05025,0.9792,0.0006584,294.3,293.6,294.03029403,0.0205089557293,14336.6779816,rela_nu,rela_f,rela_tp
model3332,13.870968,16.451613,8.0,12.0,32.761905,32.15873,27.936508,False,0.05025,1.235,0.001181,294.2,293.6,343.035343035,0.0258592371024,13265.4858176,rela_nu,rela_f,rela_tp
